iter	Passed	Remaining
0	2	233
1	4	215
2	6	217
3	8	199
4	9	189
5	11	185
6	13	183
7	15	177
8	17	177
9	19	173
10	21	171
11	22	167
12	24	164
13	26	161
14	28	158
15	29	155
16	31	152
17	32	149
18	34	147
19	36	145
20	38	143
21	39	140
22	41	138
23	43	136
24	45	135
25	47	134
26	48	131
27	50	129
28	52	128
29	54	126
30	55	124
31	57	122
32	59	120
33	61	118
34	62	116
35	64	114
36	66	112
37	68	111
38	69	109
39	71	107
40	73	105
41	74	102
42	75	100
43	77	98
44	79	97
45	81	95
46	82	93
47	84	91
48	86	89
49	88	88
50	89	86
51	91	84
52	93	82
53	95	80
54	96	78
55	97	76
56	99	74
57	100	73
58	102	71
59	104	69
60	105	67
61	107	66
62	109	64
63	111	62
64	113	61
65	116	59
66	117	58
67	119	56
68	121	54
69	123	52
70	124	51
71	126	49
72	128	47
73	130	45
74	131	43
75	133	42
76	135	40
77	136	38
78	139	37
79	140	35
80	142	33
81	144	31
82	146	30
83	148	28
84	149	26
85	151	24
86	153	22
87	155	21
88	157	19
89	158	17
90	160	15
91	162	14
92	163	12
93	165	10
94	167	8
95	168	7
96	170	5
97	171	3
98	173	1
99	175	0
