iter	Passed	Remaining
0	0	588
1	1	823
2	2	716
3	2	649
4	3	604
5	3	580
6	3	565
7	4	545
8	4	529
9	5	517
10	5	508
11	6	504
12	6	498
13	7	495
14	7	492
15	8	523
16	9	556
17	10	558
18	11	569
19	11	563
20	11	558
21	12	558
22	13	555
23	13	549
24	13	544
25	14	540
26	15	543
27	15	542
28	16	537
29	16	534
30	17	534
31	17	531
32	18	529
33	18	526
34	18	523
35	19	520
36	19	516
37	20	513
38	20	510
39	21	511
40	21	510
41	22	508
42	22	507
43	23	509
44	24	513
45	24	513
46	25	511
47	25	509
48	26	508
49	26	510
50	27	508
51	27	507
52	28	507
53	28	505
54	29	504
55	29	502
56	30	501
57	30	501
58	31	500
59	31	499
60	32	497
61	32	495
62	33	493
63	33	495
64	34	494
65	34	492
66	35	491
67	35	490
68	36	488
69	36	487
70	37	485
71	37	484
72	38	483
73	38	481
74	38	480
75	39	481
76	40	487
77	41	487
78	41	487
79	42	487
80	42	485
81	43	485
82	43	481
83	44	480
84	44	479
85	45	478
86	45	479
87	46	477
88	46	476
89	47	475
90	47	475
91	48	474
92	48	473
93	48	471
94	49	471
95	50	470
96	50	469
97	51	471
98	51	470
99	52	470
100	53	473
101	53	473
102	54	472
103	54	471
104	55	472
105	55	471
106	56	470
107	56	470
108	57	468
109	57	468
110	58	467
111	58	466
112	59	464
113	59	465
114	60	464
115	60	463
116	61	462
117	61	461
118	62	459
119	62	459
120	63	458
121	63	456
122	63	456
123	64	456
124	65	455
125	65	455
126	66	453
127	66	453
128	67	453
129	67	453
130	68	455
131	69	456
132	70	456
133	70	458
134	71	457
135	72	457
136	72	457
137	73	457
138	73	456
139	74	456
140	74	456
141	75	455
142	76	455
143	76	455
144	77	455
145	77	455
146	78	455
147	78	454
148	79	455
149	80	454
150	81	455
151	81	454
152	82	453
153	82	453
154	83	454
155	84	454
156	84	454
157	85	453
158	85	453
159	86	453
160	86	452
161	87	451
162	87	450
163	88	451
164	89	451
165	89	451
166	90	450
167	91	451
168	92	452
169	93	454
170	93	455
171	94	456
172	95	457
173	96	458
174	97	459
175	98	460
176	99	461
177	99	459
178	100	460
179	101	461
180	101	460
181	102	460
182	103	460
183	104	461
184	104	462
185	105	463
186	106	463
187	107	463
188	108	463
189	108	463
190	109	463
191	110	463
192	110	462
193	111	462
194	112	462
195	112	462
196	113	461
197	113	461
198	114	461
199	115	461
200	116	462
201	117	462
202	117	462
203	118	461
204	118	461
205	119	460
206	120	461
207	121	461
208	121	461
209	122	461
210	123	461
211	124	462
212	125	463
213	126	464
214	127	463
215	127	463
216	128	463
217	128	462
218	130	464
219	130	464
220	131	465
221	132	464
222	133	463
223	133	463
224	134	462
225	134	461
226	135	460
227	135	460
228	136	459
229	137	458
230	137	458
231	138	459
232	139	459
233	140	460
234	142	464
235	143	463
236	144	463
237	145	464
238	145	463
239	146	463
240	147	463
241	147	462
242	148	461
243	148	460
244	150	462
245	150	462
246	151	461
247	152	461
248	152	460
249	153	459
250	153	459
251	154	458
252	154	457
253	155	456
254	156	456
255	157	456
256	157	456
257	158	455
258	159	455
259	159	454
260	160	454
261	161	453
262	161	453
263	162	452
264	163	452
265	163	452
266	164	452
267	165	452
268	166	452
269	167	451
270	167	451
271	168	451
272	169	451
273	170	450
274	170	450
275	171	450
276	172	450
277	173	449
278	175	452
279	175	451
280	176	451
281	177	450
282	177	450
283	178	449
284	179	449
285	179	448
286	180	447
287	180	447
288	181	446
289	182	445
290	182	445
291	183	444
292	183	443
293	184	443
294	185	442
295	185	441
296	186	440
297	186	440
298	187	439
299	188	438
300	188	438
301	189	438
302	190	437
303	190	436
304	191	436
305	192	435
306	192	434
307	193	434
308	193	433
309	194	432
310	195	432
311	195	431
312	196	430
313	196	429
314	197	429
315	198	428
316	198	427
317	199	427
318	199	426
319	200	425
320	200	425
321	201	424
322	202	423
323	202	423
324	203	422
325	204	422
326	205	421
327	205	421
328	206	420
329	206	419
330	207	419
331	208	419
332	209	419
333	210	419
334	211	419
335	212	420
336	213	420
337	214	420
338	215	420
339	216	419
340	216	418
341	217	418
342	218	417
343	218	417
344	219	416
345	220	417
346	221	416
347	221	415
348	222	415
349	223	414
350	223	413
351	224	413
352	225	412
353	225	411
354	226	410
355	226	410
356	227	409
357	228	408
358	228	408
359	229	407
360	229	407
361	230	406
362	231	405
363	231	404
364	233	405
365	233	404
366	234	404
367	235	403
368	235	403
369	236	402
370	236	401
371	237	400
372	238	400
373	238	399
374	239	399
375	240	398
376	240	397
377	241	397
378	241	396
379	242	395
380	243	395
381	243	394
382	244	393
383	244	392
384	245	392
385	246	391
386	246	390
387	247	390
388	248	389
389	248	389
390	249	388
391	250	388
392	250	387
393	251	386
394	252	386
395	252	385
396	253	384
397	253	384
398	254	383
399	255	382
400	255	382
401	256	381
402	256	380
403	257	379
404	258	379
405	258	378
406	259	377
407	259	377
408	260	376
409	261	375
410	261	375
411	262	374
412	263	374
413	263	373
414	264	372
415	264	371
416	265	371
417	266	370
418	267	370
419	267	369
420	268	369
421	269	368
422	269	367
423	270	367
424	270	366
425	271	365
426	272	365
427	272	364
428	273	363
429	273	363
430	274	362
431	275	362
432	276	361
433	277	361
434	278	361
435	279	361
436	280	360
437	280	360
438	281	359
439	282	359
440	282	358
441	283	357
442	283	356
443	284	356
444	285	355
445	285	354
446	286	354
447	286	353
448	287	352
449	288	352
450	288	351
451	289	350
452	289	350
453	290	349
454	291	348
455	291	347
456	292	347
457	292	346
458	293	345
459	294	345
460	294	344
461	295	344
462	296	343
463	296	343
464	297	342
465	298	341
466	298	341
467	299	340
468	300	340
469	301	339
470	301	338
471	302	338
472	302	337
473	303	336
474	304	336
475	304	335
476	305	334
477	306	334
478	306	333
479	307	333
480	308	332
481	309	332
482	310	331
483	310	331
484	311	330
485	312	330
486	313	330
487	314	329
488	314	328
489	315	328
490	316	327
491	316	327
492	317	326
493	318	325
494	319	325
495	320	325
496	320	324
497	321	323
498	322	323
499	322	322
500	323	322
501	324	321
502	324	320
503	325	320
504	326	319
505	327	319
506	328	319
507	329	318
508	329	318
509	330	317
510	330	316
511	331	316
512	332	315
513	332	314
514	333	313
515	334	313
516	334	312
517	335	312
518	336	311
519	336	311
520	337	310
521	338	310
522	339	309
523	340	308
524	340	308
525	341	307
526	342	307
527	343	306
528	343	306
529	344	305
530	344	304
531	345	303
532	346	303
533	346	302
534	347	301
535	348	301
536	348	300
537	349	299
538	349	299
539	350	298
540	351	297
541	351	297
542	352	296
543	353	296
544	354	295
545	355	295
546	355	294
547	356	293
548	356	293
549	357	292
550	358	291
551	358	291
552	359	290
553	359	289
554	360	289
555	361	288
556	361	287
557	362	287
558	362	286
559	363	285
560	364	284
561	364	284
562	365	283
563	365	282
564	366	282
565	367	281
566	367	280
567	368	280
568	369	279
569	369	279
570	370	278
571	371	277
572	372	277
573	372	276
574	373	276
575	374	275
576	374	274
577	375	274
578	376	273
579	376	272
580	377	272
581	378	271
582	378	270
583	379	270
584	380	269
585	380	268
586	381	268
587	382	267
588	382	267
589	383	266
590	384	265
591	384	265
592	385	264
593	386	263
594	386	263
595	387	262
596	387	261
597	388	261
598	388	260
599	389	259
600	390	259
601	390	258
602	391	257
603	391	256
604	392	256
605	393	255
606	394	255
607	394	254
608	395	253
609	396	253
610	396	252
611	397	251
612	398	251
613	398	250
614	399	249
615	399	249
616	400	248
617	401	248
618	402	247
619	402	246
620	403	246
621	404	245
622	404	244
623	405	244
624	405	243
625	406	242
626	407	242
627	407	241
628	408	240
629	408	240
630	409	239
631	410	238
632	410	238
633	411	237
634	412	236
635	412	236
636	413	235
637	414	234
638	414	234
639	415	233
640	416	233
641	416	232
642	417	231
643	418	231
644	418	230
645	419	229
646	420	229
647	421	228
648	422	228
649	423	227
650	423	227
651	424	226
652	425	225
653	425	225
654	426	224
655	427	224
656	428	223
657	428	222
658	429	222
659	430	221
660	430	221
661	431	220
662	432	219
663	433	219
664	433	218
665	434	217
666	435	217
667	435	216
668	436	215
669	437	215
670	437	214
